t,s_rel,lambda_pairwise,lambda_with_hyperedge,lambda_gain
4.124248496993988,1.974248496993988,0.47678477934269897,0.5733466304592888,0.09656185111658978
4.13627254509018,1.9862725450901801,0.47591266912984054,0.5713777849656602,0.09546511583581961
4.148296593186373,1.9982965931863732,0.4750504642163121,0.5694313013291239,0.09438083711281185
4.160320641282565,2.0103206412825654,0.47419805209918287,0.5675069255670014,0.09330887346781853
4.1723446893787575,2.0223446893787576,0.47335532155331395,0.5656044065813115,0.09224908502799758
4.18436873747495,2.0343687374749497,0.47252216261684515,0.5637234961260073,0.09120133350916212
4.196392785571142,2.046392785571142,0.4716984665768468,0.5618639487745836,0.09016548219773673
4.208416833667335,2.058416833667335,0.47088412595513474,0.5600255218880533,0.08914139593291855
4.220440881763527,2.070440881763527,0.4700790344942462,0.5582079755832876,0.08812894108904142
4.232464929859719,2.0824649298597193,0.46928308714357514,0.5564110727017147,0.08712798555813961
4.244488977955911,2.0944889779559115,0.4684961800456645,0.5546345787783749,0.0861383987327103
4.2565130260521045,2.1065130260521046,0.46771821052265516,0.5528782620113265,0.08516005148867131
4.268537074148297,2.1185370741482967,0.46694907706288813,0.5511418932314012,0.08419281616851305
4.280561122244489,2.130561122244489,0.4661886793076585,0.5494252458722995,0.0832365665646409
4.292585170340681,2.142585170340681,0.46543691803812104,0.5477280959410284,0.08229117790290744
4.304609218436874,2.154609218436874,0.4646936951623435,0.5460502219886754,0.08135652682633182
4.316633266533066,2.1666332665330663,0.4639589137025073,0.5443914050815108,0.08043249137900355
4.328657314629258,2.1786573146292585,0.4632324777822537,0.5427514287724231,0.07951895099016942
4.340681362725451,2.1906813627254507,0.46251429261417343,0.5411300790726744,0.07861578645850098
4.352705410821644,2.2027054108216437,0.4618042644874386,0.5395271444239795,0.07772287993654092
4.364729458917836,2.214729458917836,0.46110230075557535,0.5379424156709016,0.07684011491532625
4.376753507014028,2.226753507014028,0.46040830982437464,0.5363756860335599,0.07596737620918524
4.38877755511022,2.2387775551102203,0.45972220113994094,0.5348267510806493,0.07510454994070834
4.400801603206412,2.2508016032064124,0.45904388517687666,0.5332954087027653,0.07425152352588862
4.412825651302605,2.2628256513026055,0.4583732734266002,0.531781459086032,0.07340818565943184
4.424849699398798,2.2748496993987977,0.4577102783857978,0.5302847046860307,0.07257442630023296
4.43687374749499,2.28687374749499,0.4570548135450052,0.5288049502020227,0.07175013665701747
4.448897795591182,2.298897795591182,0.45640679337732004,0.5273420025514662,0.07093520917414624
4.460921843687375,2.310921843687375,0.45576613332724153,0.5258956708448226,0.07012953751758105
4.472945891783567,2.3229458917835673,0.45513274979963836,0.5244657663606487,0.06933301656101036
4.484969939879759,2.3349699398797594,0.45450656014884,0.5230521025209715,0.06854554237213144
4.4969939879759515,2.3469939879759516,0.4538874826678535,0.521654494866943,0.06776701219908957
4.509018036072145,2.3590180360721447,0.45327543657770175,0.520272761034772,0.06699732445707031
4.521042084168337,2.371042084168337,0.4526703420168834,0.5189067207319281,0.06623637871504476
4.533066132264529,2.383066132264529,0.4520721200309523,0.517556195713617,0.0654840756826647
4.545090180360721,2.395090180360721,0.4514806925622153,0.5162210097595223,0.06474031719730709
4.557114228456914,2.4071142284569143,0.4508959824395469,0.5149009886508125,0.0640050062112655
4.569138276553106,2.4191382765531064,0.4503179133683201,0.5135959601474073,0.06327804677908712
4.5811623246492985,2.4311623246492986,0.44974640992045084,0.5123057539655043,0.0625593440450534
4.593186372745491,2.4431863727454908,0.4491813975245561,0.5110302017553592,0.0618488042308031
4.605210420841684,2.455210420841684,0.44862280245622377,0.5097691370793195,0.06114633462309567
4.617234468937876,2.467234468937876,0.44807055182839284,0.508522395390107,0.060451843561714146
4.629258517034068,2.479258517034068,0.4475245735818425,0.507289814009347,0.05976524042750454
4.64128256513026,2.4912825651302604,0.4469847964757902,0.5060712321063423,0.059086435630552055
4.6533066132264524,2.5033066132264525,0.4464511500785957,0.5048664906770866,0.0584153405984908
4.6653306613226455,2.5153306613226456,0.4459235647585707,0.5036754325235175,0.05775186776494684
4.677354709418838,2.5273547094188378,0.44540197167489376,0.502497902233006,0.05709593055811228
4.68937875751503,2.53937875751503,0.444886302768627,0.501333746158076,0.05644744338944897
4.701402805611222,2.551402805611222,0.4443764907538361,0.500182812396357,0.05580632164252083
4.713426853707415,2.563426853707415,0.4438724691088105,0.49904495077076316,0.05517248166195266
4.725450901803607,2.5754509018036074,0.4433741720673833,0.4979200128098982,0.05454584074251496
4.7374749498997994,2.5874749498997995,0.44288153461035007,0.49680785172868186,0.053926317118331776
4.749498997995992,2.5994989979959917,0.4423944924569851,0.49570832240919716,0.053313829952212045
4.761523046092185,2.6115230460921848,0.4419129820566533,0.4946212813817549,0.05270829932510159
4.773547094188377,2.623547094188377,0.44143694058051886,0.493546586806174,0.05210964622565514
4.785571142284569,2.635571142284569,0.4409663059133462,0.49248409845327273,0.051517792539926575
4.797595190380761,2.6475951903807613,0.44050101664539565,0.4914336776865721,0.05093266104117646
4.809619238476954,2.6596192384769544,0.44004101206441015,0.49039518744420546,0.050354175379795314
4.8216432865731464,2.6716432865731465,0.43958623214769377,0.48936849222103507,0.04978226007334131
4.833667334669339,2.6836673346693387,0.43913661755427935,0.48835345805097036,0.049216840496691026
4.845691382765531,2.695691382765531,0.43869210961718563,0.48734995248948787,0.04865784287230225
4.857715430861723,2.707715430861723,0.43825265033576233,0.48635784459634945,0.04810519426058713
4.869739478957916,2.719739478957916,0.4378181823681222,0.4853770049185172,0.04755882255039498
4.881763527054108,2.7317635270541083,0.4373886490236584,0.4844073054732614,0.04701865644960298
4.8937875751503,2.7437875751503005,0.43696399425564797,0.48344861973146164,0.04648462547581368
4.905811623246493,2.7558116232464926,0.43654416265393803,0.48250082260109634,0.04595665994715829
4.917835671342686,2.7678356713426857,0.43612909943771627,0.48156379041092073,0.04543469097320446
4.929859719438878,2.779859719438878,0.4357187504483628,0.48063740089433005,0.044918650445967295
4.94188376753507,2.79188376753507,0.43531306214238313,0.4797215331734054,0.044408471031022224
4.953907815631262,2.8039078156312622,0.43491198158442224,0.47881606774314145,0.04390408615871924
4.965931863727455,2.8159318637274553,0.4345154564403567,0.47792088645585323,0.043405430015496536
4.977955911823647,2.8279559118236475,0.43412343497046674,0.4770358725057599,0.04291243753529318
4.98997995991984,2.8399799599198396,0.4337358660226843,0.4761609104137432,0.042425044391058854
5.002004008016032,2.852004008016032,0.43335269902591933,0.4752958860122798,0.04194318698636044
5.014028056112225,2.864028056112225,0.4329738839834605,0.4744406864305442,0.041466802447083714
5.026052104208417,2.876052104208417,0.4325993714664519,0.47359520007968137,0.04099582861322947
5.038076152304609,2.8880761523046092,0.4322291126074433,0.47275931663824583,0.040530204030802534
5.050100200400801,2.9001002004008014,0.4318630590940136,0.47193292703780676,0.040069867943793136
5.0621242484969935,2.9121242484969936,0.43150116316246734,0.4711159234487167,0.039614760286249384
5.074148296593187,2.9241482965931866,0.4311433775916019,0.47030819926604145,0.03916482167443957
5.086172344689379,2.936172344689379,0.4307896556965461,0.4695096490956498,0.038719993399103717
5.098196392785571,2.948196392785571,0.43043995132266866,0.4687201687404616,0.03828021741779294
5.110220440881763,2.960220440881763,0.43009421883955595,0.4679396551868519,0.037845436347295904
5.122244488977956,2.9722444889779562,0.42975241313505774,0.4671680065912091,0.03741559345615137
5.134268537074148,2.9842685370741484,0.42941448960940093,0.46640512226664665,0.03699063265724572
5.1462925851703405,2.9962925851703406,0.4290804041693701,0.46565090266986453,0.036570498500494444
5.158316633266533,3.0083166332665328,0.4287501132225541,0.464905249388161,0.03615513616560697
5.170340681362726,3.020340681362726,0.4284235736716579,0.4641680651265913,0.03574449145493343
5.182364729458918,3.032364729458918,0.4281007429088794,0.4634392536952724,0.035338510786393024
5.19438877755511,3.04438877755511,0.42778157881034934,0.46271871999683156,0.034937141186482196
5.206412825651302,3.0564128256513023,0.4274660397306354,0.46200637001399814,0.03454033028336272
5.218436873747495,3.0684368737474954,0.42715408449730774,0.46130211079733563,0.03414802630002791
5.2304609218436875,3.0804609218436876,0.4268456724055671,0.4606058504531139,0.03376017804754682
5.24248496993988,3.0924849699398798,0.4265407632129333,0.4599174981313181,0.03337673491838477
5.254509018036072,3.104509018036072,0.42623931713399427,0.4592369640137942,0.03299764687979996
5.266533066132265,3.116533066132265,0.4259412948352148,0.45856415930253,0.03262286446731515
5.278557114228457,3.128557114228457,0.4256466574298042,0.45789899620806757,0.0322523387782634
5.290581162324649,3.1405811623246493,0.4253553664726421,0.4572413879380491,0.031886021465406963
5.302605210420841,3.1526052104208415,0.42506738395526233,0.4565912486858913,0.03152386473062893
5.314629258517034,3.1646292585170337,0.4247826723008933,0.45594849361958967,0.031165821318696375
5.326653306613227,3.1766533066132268,0.42450119435955447,0.4553130388706488,0.030811844511094325
5.338677354709419,3.188677354709419,0.4242229134032099,0.4546848015231397,0.030461888119929864
5.350701402805611,3.200701402805611,0.42394779312097475,0.45406369960288007,0.03011590648190532
5.362725450901803,3.2127254509018033,0.42367579761437824,0.45344965206673826,0.02977385445236002
5.374749498997996,3.2247494989979963,0.4234068913926788,0.45284257879205847,0.029435687399379712
5.386773547094188,3.2367735470941885,0.4231410393682338,0.4522424005662067,0.02910136119797288
5.398797595190381,3.2487975951903807,0.42287820685192057,0.45164903907623366,0.02877083222431312
5.410821643286573,3.260821643286573,0.4226183595486107,0.4510624168986578,0.028444057350047052
5.422845691382766,3.272845691382766,0.4223614635526945,0.4504824574893612,0.028120993936666717
5.434869739478958,3.284869739478958,0.4221074853436574,0.44990908517360356,0.027801599829946178
5.44689378757515,3.2968937875751503,0.42185639178170586,0.4493422251361467,0.027485833354440846
5.458917835671342,3.3089178356713425,0.4216081501034432,0.448781803411493,0.027173653308049776
5.470941883767535,3.3209418837675355,0.42136272791759455,0.44822774687423395,0.02686501895663937
5.482965931863728,3.3329659318637277,0.4211200932007805,0.44767998322950886,0.02655989002872838
5.49498997995992,3.34498997995992,0.4208802142933382,0.4471384410035713,0.026258226710233066
5.507014028056112,3.357014028056112,0.42064305989519085,0.446603049534463,0.025959989639272166
5.519038076152304,3.369038076152304,0.4204085990617633,0.44607373896279423,0.025665139901030917
5.531062124248497,3.3810621242484973,0.42017680119994405,0.4455504402226273,0.025373639022683227
5.543086172344689,3.3930861723446895,0.419947636064094,0.4450330850324658,0.025085448968371782
5.5551102204408815,3.4051102204408816,0.41972107375209944,0.4445216058863443,0.024800532134244883
5.567134268537074,3.417134268537074,0.4194970847014703,0.4440159360450201,0.02451885134354981
