time,node
21.952300,3
21.959300,0
21.970000,0
22.003500,0
22.007900,4
22.012700,0
22.022000,4
22.023900,3
22.045500,0
22.050300,3
22.053200,0
22.060000,4
22.066000,3
22.068000,1
22.072700,4
22.087100,4
22.145200,3
22.147900,2
22.151700,2
22.161900,6
22.163100,3
22.166900,6
22.173900,0
22.196400,0
22.204700,0
22.213700,2
22.220700,2
22.247700,3
22.249700,0
22.281400,1
22.305000,2
22.309200,6
22.310400,2
22.317500,6
22.345100,4
22.351100,4
22.357200,4
22.369800,4
22.377600,4
22.405400,0
22.427400,0
22.435900,0
22.450200,0
22.465800,0
22.473000,0
22.483900,1
22.489400,3
22.496500,6
22.545100,3
22.547300,2
22.552300,2
22.569300,4
22.581400,4
22.590900,0
22.593000,4
22.598800,0
22.609200,0
22.611100,1
22.625900,1
22.626600,0
22.634600,3
22.635300,0
22.639200,2
22.642200,2
22.644600,1
22.648000,0
22.649600,2
22.655100,0
22.656500,1
22.665900,3
22.670200,0
22.682700,3
22.694700,1
22.706400,4
22.712200,3
22.712400,0
22.716500,4
22.719500,2
22.723900,2
22.726900,4
22.728700,0
22.735200,4
22.749300,4
22.754900,3
22.755800,0
22.757500,4
22.764900,0
22.780400,0
22.784100,4
22.794500,4
22.796800,0
22.835100,0
22.846100,2
22.850300,2
22.852500,1
22.857400,2
22.917700,4
22.943700,6
22.944700,4
22.948200,6
22.956600,4
22.959200,0
22.972500,2
22.976600,2
23.004400,0
23.018400,3
23.025700,3
23.033500,4
23.070200,3
23.075800,0
23.077000,3
23.085200,0
23.093600,3
23.101100,0
23.102700,3
23.109800,3
23.117800,3
23.127700,0
23.142500,2
23.146700,2
23.146800,6
23.171700,4
23.202100,4
23.224900,2
23.229200,2
23.265100,0
23.276800,0
23.293500,0
23.314100,4
23.321600,0
23.322100,4
23.332600,0
23.335800,4
23.341500,1
23.344800,0
23.346400,4
23.349700,1
23.353200,0
23.355700,3
23.356700,1
23.357900,4
23.362000,2
23.367500,0
23.368300,1
23.369800,4
23.379400,2
23.406000,1
23.416100,0
23.466500,0
23.477800,2
23.482000,2
23.485400,4
23.487800,2
23.489500,1
23.494300,0
23.497300,4
23.509000,4
23.519000,4
23.529600,2
23.554500,4
23.559300,6
23.564600,6
23.566300,4
23.595900,2
23.602800,2
23.614800,6
23.654500,3
23.664600,0
23.681100,2
23.681200,4
23.695500,4
23.708100,0
23.715700,0
23.748100,0
23.754500,3
23.760700,3
23.761800,6
23.767000,6
23.768700,2
23.773000,2
23.778000,3
23.778200,2
23.797300,0
23.804600,3
23.826600,0
23.854000,2
23.857800,3
23.866000,2
23.866600,0
23.875100,0
23.897300,0
23.899300,4
23.910700,3
24.010100,6
24.018500,2
24.021700,4
24.022900,2
24.024200,0
24.033800,4
24.039000,0
24.055900,0
24.063600,4
24.070400,0
24.071600,4
24.073900,2
24.076400,0
24.084300,4
24.084700,0
24.093900,3
24.094800,5
24.102500,4
24.107600,5
24.112900,3
24.117300,5
24.125100,5
24.171800,0
24.187100,1
24.188700,2
24.192500,2
24.196200,0
24.233900,4
24.288300,3
24.294500,3
24.305500,0
24.328300,0
24.334200,2
24.338700,2
24.341500,3
24.344600,6
24.348500,6
24.354900,6
24.360400,4
24.372900,4
24.381700,3
24.387900,3
24.417500,2
24.419900,0
24.444000,6
24.448700,6
24.462000,3
24.465200,0
24.469400,3
24.477600,3
24.504600,6
24.509900,6
24.531900,2
24.536700,2
24.586400,4
24.593000,0
24.597900,4
24.600300,0
24.609500,0
24.609900,4
24.619000,4
24.626600,0
24.652900,0
24.678800,0
24.688700,0
24.716200,2
24.720800,2
24.722700,0
24.732100,0
24.748200,0
24.759400,0
24.766100,3
24.778200,6
24.808400,0
24.817200,0
24.820700,4
24.832600,4
24.843600,6
24.844600,4
24.891200,3
24.906300,0
24.907800,2
24.912200,2
24.942400,0
24.950700,1
24.951200,3
24.953600,0
24.957000,1
